[13:43:31:378] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\study\java\our-task\java\target\classes\com\water76016\ourtask\service\impl\FeedbackServiceImpl.class]
[13:43:31:393] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\study\java\our-task\java\target\classes\com\water76016\ourtask\service\impl\LabelServiceImpl.class]
[13:43:31:393] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\study\java\our-task\java\target\classes\com\water76016\ourtask\service\impl\RedisServiceImpl.class]
[13:43:31:393] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\study\java\our-task\java\target\classes\com\water76016\ourtask\service\impl\TaskLabelServiceImpl.class]
[13:43:31:393] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\study\java\our-task\java\target\classes\com\water76016\ourtask\service\impl\TaskServiceImpl.class]
[13:43:31:393] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\study\java\our-task\java\target\classes\com\water76016\ourtask\service\impl\TouristServiceImpl.class]
[13:43:31:393] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\study\java\our-task\java\target\classes\com\water76016\ourtask\service\impl\UserDetailServiceImpl.class]
[13:43:31:393] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\study\java\our-task\java\target\classes\com\water76016\ourtask\service\impl\UserServiceImpl.class]
[13:43:31:596] - [restartedMain] [DEBUG] - o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.template.provider.cache' in PropertySource 'configurationProperties' with value of type String
[13:43:31:628] - [restartedMain] [DEBUG] - o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.datasource.type' in PropertySource 'configurationProperties' with value of type String
[13:43:31:628] - [restartedMain] [DEBUG] - o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.datasource.type' in PropertySource 'configurationProperties' with value of type String
[13:43:31:643] - [restartedMain] [DEBUG] - o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.datasource.type' in PropertySource 'configurationProperties' with value of type String
[13:43:31:643] - [restartedMain] [DEBUG] - o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
[13:43:31:643] - [restartedMain] [DEBUG] - o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.datasource.url' in PropertySource 'configurationProperties' with value of type String
[13:43:31:659] - [restartedMain] [DEBUG] - o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
[13:43:31:721] - [restartedMain] [DEBUG] - o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
[13:43:31:721] - [restartedMain] [DEBUG] - o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
[13:43:31:815] - [restartedMain] [DEBUG] - o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.application.admin.enabled' in PropertySource 'configurationProperties' with value of type String
[13:43:31:878] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: URL [jar:file:/D:/programs/maven/apache-maven-3.6.3/repository/io/springfox/springfox-oas/3.0.0/springfox-oas-3.0.0.jar!/springfox/documentation/oas/web/OpenApiControllerWebMvc.class]
[13:43:31:893] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: URL [jar:file:/D:/programs/maven/apache-maven-3.6.3/repository/io/springfox/springfox-oas/3.0.0/springfox-oas-3.0.0.jar!/springfox/documentation/oas/mappers/OasVendorExtensionsMapperImpl.class]
[13:43:31:893] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: URL [jar:file:/D:/programs/maven/apache-maven-3.6.3/repository/io/springfox/springfox-oas/3.0.0/springfox-oas-3.0.0.jar!/springfox/documentation/oas/mappers/StyleEnumMapperImpl.class]
[13:43:31:893] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: URL [jar:file:/D:/programs/maven/apache-maven-3.6.3/repository/io/springfox/springfox-oas/3.0.0/springfox-oas-3.0.0.jar!/springfox/documentation/oas/mappers/SecuritySchemeMapperImpl.class]
[13:43:31:893] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: URL [jar:file:/D:/programs/maven/apache-maven-3.6.3/repository/io/springfox/springfox-oas/3.0.0/springfox-oas-3.0.0.jar!/springfox/documentation/oas/mappers/OasSecurityMapperImpl.class]
